Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Start listener action : sampleAfterTestCase,Chrome 111.0.0.0,,,2023-04-03 17:51:18,2023-04-03 17:51:18,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 111.0.0.0,,,2023-04-03 17:51:18,2023-04-03 17:51:19,0.813s,PASSED
,,,,,,,
"Test Cases/Login/TC_2,3_Sign In With Invalid Data",Chrome 111.0.0.0,,,2023-04-03 17:51:19,2023-04-03 17:51:52,32.769s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 111.0.0.0,,,2023-04-03 17:51:19,2023-04-03 17:51:19,0.000s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 111.0.0.0,,,2023-04-03 17:51:19,2023-04-03 17:51:46,27.204s,PASSED
"errorMessage = ""Login failed! Please ensure the username and password are valid.""",Chrome 111.0.0.0,,,2023-04-03 17:51:46,2023-04-03 17:51:46,0.000s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/btnMakeAppointment""))",Chrome 111.0.0.0,,,2023-04-03 17:51:46,2023-04-03 17:51:49,2.269s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/txfUsername""), sUsername)",Chrome 111.0.0.0,,,2023-04-03 17:51:49,2023-04-03 17:51:49,0.625s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/txfPassword""), sPassword)",Chrome 111.0.0.0,,,2023-04-03 17:51:49,2023-04-03 17:51:50,0.642s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/btnLogin""))",Chrome 111.0.0.0,,,2023-04-03 17:51:50,2023-04-03 17:51:51,0.860s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/txvLoginError""), errorMessage, STOP_ON_FAILURE)",Chrome 111.0.0.0,,,2023-04-03 17:51:51,2023-04-03 17:51:51,0.538s,PASSED
Start listener action : sampleAfterTestCase,Chrome 111.0.0.0,,,2023-04-03 17:51:51,2023-04-03 17:51:51,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 111.0.0.0,,,2023-04-03 17:51:51,2023-04-03 17:51:52,0.622s,PASSED
,,,,,,,
"Test Cases/Login/TC_2,3_Sign In With Invalid Data",Chrome 111.0.0.0,,,2023-04-03 17:51:52,2023-04-03 17:52:01,9.487s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 111.0.0.0,,,2023-04-03 17:51:52,2023-04-03 17:51:52,0.001s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 111.0.0.0,,,2023-04-03 17:51:52,2023-04-03 17:51:57,5.345s,PASSED
"errorMessage = ""Login failed! Please ensure the username and password are valid.""",Chrome 111.0.0.0,,,2023-04-03 17:51:57,2023-04-03 17:51:57,0.001s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/btnMakeAppointment""))",Chrome 111.0.0.0,,,2023-04-03 17:51:57,2023-04-03 17:51:58,0.742s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/txfUsername""), sUsername)",Chrome 111.0.0.0,,,2023-04-03 17:51:58,2023-04-03 17:51:59,0.628s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/txfPassword""), sPassword)",Chrome 111.0.0.0,,,2023-04-03 17:51:59,2023-04-03 17:51:59,0.642s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/btnLogin""))",Chrome 111.0.0.0,,,2023-04-03 17:51:59,2023-04-03 17:52:00,0.913s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/txvLoginError""), errorMessage, STOP_ON_FAILURE)",Chrome 111.0.0.0,,,2023-04-03 17:52:00,2023-04-03 17:52:01,0.521s,PASSED
Start listener action : sampleAfterTestCase,Chrome 111.0.0.0,,,2023-04-03 17:52:01,2023-04-03 17:52:01,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 111.0.0.0,,,2023-04-03 17:52:01,2023-04-03 17:52:01,0.679s,PASSED
